Week,Day,2017,2018,2019,2020,2021
Week37,Sunday,0.0,1231.58,1527.5300000000002,1001.7800000000001,1327.15
Week37,Total,0.0,9820.810000000001,12751.980000000001,9023.680000000002,11913.359999999999
Week 38,Monday,0.0,1071.92,1132.65,592.47,1292.37
Week 38,Tuesday,0.0,1206.92,1322.61,655.27,964.79
Week 38,Wednesday,0.0,1181.72,1834.45,1218.6000000000001,3171.2
Week 38,Thursday,0.0,1491.69,2140.4700000000003,1127.46,1664.52
Week 38,Friday,0.0,1411.0900000000001,2298.79,1494.78,1989.65
Week 38,Saturday,0.0,1841.98,2042.06,1500.97,3311.91
Week 38,Sunday,0.0,987.9300000000001,1597.3700000000001,1043.68,951.3199999999999
Week 38,Total,0.0,9193.25,12368.400000000001,7633.2300000000005,13345.759999999998
Week 39,Monday,0.0,1263.97,1185.4099999999999,1107.2600000000002,960.16
Week 39,Tuesday,0.0,1234.33,1188.7799999999997,787.5600000000001,916.36
Week 39,Wednesday,0.0,2071.7,1959.49,1546.8300000000002,1633.25
Week 39,Thursday,0.0,1546.6799999999998,1336.0900000000001,1500.33,1655.8899999999999
Week 39,Friday,0.0,2619.06,2157.54,2105.39,2237.1099999999997
Week 39,Saturday,0.0,1889.73,2086.6,1767.99,2436.0
Week 39,Sunday,0.0,1820.16,1835.49,763.28,938.52
Week 39,Total,0.0,12445.63,11749.4,9578.640000000001,10777.29
Q3,Total,0.0,143864.13999999998,168654.36000000002,92969.3,149510.27000000002
